City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Chumikan,RU,54.7183,135.315,12.27,91,90,4.12,overcast clouds
348,Sheopur,IN,25.6667,76.7,80.4,14,2,4.21,clear sky
349,Puerto Quijarro,BO,-17.7833,-57.7667,85.82,54,88,2.39,overcast clouds
350,Turayf,SA,31.6725,38.6637,50.25,37,0,9.22,clear sky
351,Jinsha,CN,32.0898,121.0735,44.98,80,0,9.06,clear sky
352,Obidos,BR,-1.9175,-55.5181,74.75,95,99,3.87,light rain
353,Sabha,LY,27.0377,14.4283,73.24,8,17,8.93,few clouds
354,Eenhana,NA,-17.4667,16.3333,68.23,47,100,4.45,overcast clouds
355,Morwa,IN,22.9,73.8333,79.88,24,3,5.12,clear sky
356,Desbiens,CA,48.4178,-71.9495,17.56,83,100,14.74,overcast clouds
357,Tomohon,ID,1.3346,124.8392,67.14,91,66,0.27,broken clouds
358,Tenango,MX,18.65,-98.1833,89.47,14,0,9.8,clear sky
359,Tevriz,RU,57.509,72.4042,23.07,96,97,7.74,overcast clouds
360,Lufilufi,WS,-13.8745,-171.5986,87.58,77,100,7.36,light rain
361,Jega,NG,12.2175,4.3792,81.77,5,4,11.43,clear sky
362,Debre Sina,ET,9.85,39.7667,48.92,43,9,3.98,clear sky
363,Kathmandu,NP,27.7167,85.3167,62.82,88,75,3.44,broken clouds
364,Yekaterinovka,RU,52.0508,44.3451,32.92,81,100,26.04,overcast clouds
365,Progreso,MX,21.2833,-89.6667,92.1,57,0,20.47,clear sky
366,Bonham,US,33.5773,-96.1783,82.67,39,0,16.11,clear sky
367,Vanimo,PG,-2.6741,141.3028,77.31,89,100,7.52,overcast clouds
368,Mapiripan,CO,2.8892,-72.1256,74.08,96,98,4.32,light rain
369,Yarada,IN,17.65,83.2667,79.59,86,55,8.52,broken clouds
370,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,88,20,6.22,few clouds
371,Ilhabela,BR,-23.7781,-45.3581,75.25,90,52,3.85,broken clouds
372,Barra,BR,-11.0894,-43.1417,82.2,54,44,5.99,scattered clouds
373,Katherine,AU,-14.4667,132.2667,75.52,83,75,0.0,broken clouds
374,Sao Filipe,CV,14.8961,-24.4956,71.01,79,67,10.0,broken clouds
375,Darhan,MN,49.4867,105.9228,20.07,57,16,3.04,few clouds
376,Chazuta,PE,-6.5742,-76.1367,83.25,95,96,1.66,overcast clouds
377,Flinders,AU,-34.5833,150.8552,68.18,93,100,8.01,light rain
378,Otane,NZ,-39.8833,176.6333,61.02,96,100,6.98,overcast clouds
379,Stribro,CZ,49.7529,13.0041,51.24,76,15,4.92,few clouds
380,Boddam,GB,57.4667,-1.7833,44.98,85,99,1.81,overcast clouds
381,Ilebo,CD,-4.3167,20.5833,70.95,99,100,0.58,moderate rain
382,Kurumkan,RU,54.3,110.3,-3.33,93,20,4.47,few clouds
383,La Union,PE,-5.4,-80.75,82.65,54,100,10.94,overcast clouds
384,Iquitos,PE,-3.7481,-73.2472,87.84,62,40,3.44,scattered clouds
385,Kattivakkam,IN,13.2167,80.3167,83.07,90,1,10.92,clear sky
386,Timmins,CA,48.4669,-81.3331,19.22,30,20,10.36,few clouds
387,Necochea,AR,-38.5473,-58.7368,71.83,52,0,13.98,clear sky
388,Bilma,NE,18.6853,12.9164,73.71,7,0,5.32,clear sky
389,Hirara,JP,24.8,125.2833,70.07,88,75,13.8,broken clouds
390,Catuday,PH,16.2923,119.8062,78.48,76,7,13.38,clear sky
